"Phase","Unit","AreaMicron2","MajorAxisMicron","MinorAxisMicron","Angle","Circ","FeretDiameterMicron","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"Mica",1,2919.216,78.047,47.623,122.478,0.765,84.002,1112.411,140.7,132.879,53.944,1.639,0.61,0.886
"Mica",2,106309.712,513.056,263.826,151.828,0.317,579.221,7144.93,514.435,15.408,416.803,1.945,0.514,0.585
"Mica",3,734.637,32.922,28.412,0,1,35.449,1121.204,233.035,150.255,26.381,1.159,0.863,0.95
"Mica",4,43440.248,481.293,114.919,30.136,0.22,521.471,778.248,628.754,36.773,175.08,4.188,0.239,0.567
"Mica",5,11560.867,156.095,94.3,37.508,0.69,174.551,1855.483,562.801,40.914,105.089,1.655,0.604,0.869
"Mica",6,9917.6,220.032,57.389,78.911,0.505,211.416,4981.665,1064.045,73.072,57.862,3.834,0.261,0.904
"Mica",7,18191.933,298.224,77.669,38.587,0.38,324.298,7153.724,1081.632,40.601,101.368,3.84,0.26,0.754
"Mica",8,1720.597,67.445,32.482,166.605,0.706,69.521,6516.176,901.36,161.565,38.205,2.076,0.482,0.848
"Mica",9,4659.145,168.87,35.129,136.737,0.468,165.044,760.66,1046.457,138.24,40.418,4.807,0.208,0.838
"Mica",10,14712.073,164.395,113.945,143.071,0.802,169.665,677.12,1077.236,148.782,113.718,1.443,0.693,0.931
"Mica",11,1179.286,47.148,31.847,88.2,0.892,49.159,5012.443,1090.426,116.565,30.778,1.48,0.675,0.931
"Mica",12,18153.268,236.009,97.935,51.163,0.579,231.703,4893.727,1336.652,56.611,113.822,2.41,0.415,0.825
"Mica",13,4504.485,82.457,69.555,174.175,0.88,90.644,2299.568,1222.333,157.166,70.35,1.185,0.844,0.93
"Mica",14,1623.934,53.181,38.88,170.741,0.924,57.159,2075.327,1275.095,157.38,39.572,1.368,0.731,0.923
"Mica",15,425.316,24.422,22.174,134.999,1,28.154,4352.911,1283.889,128.66,21.984,1.101,0.908,0.936
"Mica",16,4233.829,106.42,50.655,43.479,0.537,109.922,4247.386,1367.43,36.87,64.608,2.101,0.476,0.764
"Mica",17,270.656,21.32,16.164,45,1,24.873,4344.117,1332.255,45,17.588,1.319,0.758,0.933
"Mica",18,1933.255,66.982,36.749,102.439,0.817,68.822,4928.902,1345.445,116.565,38.205,1.823,0.549,0.905
"Mica",19,7520.363,188.453,50.81,164.629,0.502,186.647,4018.748,1363.033,164.982,56.296,3.709,0.27,0.855
"Mica",20,173.993,14.884,14.884,0,1,18.654,4229.799,1367.43,135,13.191,1,1,1
"Mica",21,4388.49,117.876,47.402,126.179,0.7,116.081,5676.372,1437.78,127.304,51.278,2.487,0.402,0.888
"Mica",22,2474.567,82.774,38.064,13.819,0.74,84.918,5522.481,1560.892,21.251,40.437,2.175,0.46,0.892
"Mica",23,1778.595,56.15,40.331,172.178,0.914,57.328,8591.503,1578.48,147.529,39.572,1.392,0.718,0.944
"Mica",24,20202.518,171.604,149.896,6.039,0.874,185.348,8424.422,1692.799,22.306,148.93,1.145,0.873,0.95
"Mica",25,4233.829,87.706,61.463,100.889,0.926,93.168,5992.947,1626.846,109.29,61.556,1.427,0.701,0.946
"Mica",26,173.993,14.884,14.884,0,1,18.654,329.766,1925.833,135,13.191,1,1,1
