time,S,I,R
0,0.999999,1e-6,0
0.05,0.9999989264067789,1.0662137458246294e-6,7.379475317743006e-9
0.1,0.9999988479408413,1.136811601566666e-6,1.5247557262262113e-8
0.15000000000000002,0.9999987642794761,1.2120839184966598e-6,2.3636605413208362e-8
0.2,0.9999986750786042,1.2923402737830184e-6,3.258112208440981e-8
0.25,0.9999985799714366,1.3779106766874798e-6,4.211788675661634e-8
0.30000000000000004,0.9999984785668987,1.4691469871598727e-6,5.228611418245688e-8
0.35000000000000003,0.9999983704480216,1.5664243628111958e-6,6.312761565463193e-8
0.4,0.9999982551702278,1.6701428014285758e-6,7.46869709227513e-8
0.45,0.999998132259503,1.7807287856822053e-6,8.701171150004551e-8
0.5,0.9999980012104474,1.898637036727692e-6,1.0015251610713298e-7
0.55,0.9999978614841971,2.0243523839127845e-6,1.1416341905637952e-7
0.6000000000000001,0.9999977125062094,2.1583917582751336e-6,1.2910203243363963e-7
0.65,0.9999975536638991,2.30130631802652e-6,1.4502978299088564e-7
0.7000000000000001,0.9999973843041206,2.4536837147614326e-06,1.6201216472370754e-7
0.75,0.9999972037304822,2.6161505097062793e-6,1.8011900817214656e-7
0.8,0.9999970112004825,2.789374749942144e-6,1.9942476755207427e-7
0.8500000000000001,0.9999968059224579,2.9740687151914554e-6,2.2000882689762652e-7
0.9,0.9999965870523271,3.170991846459883e-6,2.419558264733532e-7
0.9500000000000001,0.9999963536901206,3.3809538685720753e-6,2.6535601079806605e-7
1,0.999996104876281,3.6048181194366264e-6,2.903055997112037e-7
1.05,0.9999958395877164,3.843505099725124e-6,3.1690718400725224e-7
1.1,0.9999955567335954,4.097996257555762e-6,3.452701472647405e-7
1.1500000000000001,0.9999952551508609,4.369338023737568e-6,3.7551111560400117e-7
1.2000000000000002,0.9999949335994489,4.658646114160719e-6,4.077544372226793e-7
1.25,0.9999945907571897,4.967110117015888e-6,4.421326936803602e-7
1.3,0.9999942252143715,5.295998383695634e-6,4.787872450341763e-7
1.35,0.9999938354679457,5.646663243478288e-6,5.17868811066372e-7
1.4000000000000001,0.999993419915346,6.020546563424697e-6,5.595380909931377e-7
1.4500000000000002,0.9999929768478997,6.419185676335976e-6,6.039664242021577e-7
1.5,0.9999925044438044,6.844219701132016e-6,6.513364947349238e-7
1.55,0.9999920007606362,7.297396281621909e-6,7.018430824096221e-7
1.6,0.9999914637273652,7.780578771355381e-6,7.556938636720412e-7
1.6500000000000001,0.9999908911358407,8.295753894075852e-6,8.13110265466287e-7
1.7000000000000002,0.9999902806317134,8.845039911248139e-6,8.743283756349109e-7
1.75,0.9999896297047565,9.430695330215282e-6,9.395999135903157e-7
1.8,0.9999889356785464,1.0055128188757963e-5,1.0091932652469036e-6
1.85,0.9999881956994596,1.0720905954195295e-5,1.0833945864674001e-6
1.9000000000000001,0.9999874067249431,1.143076607768758e-5,1.1625089795582336e-6
1.9500000000000002,0.9999865655110056,1.218762724708964e-5,1.2468617476488729e-6
2,0.9999856685988837,1.299460138456882e-5,1.3367997321099056e-6
2.0500000000000003,0.9999847123008238,1.3855006438256487e-5,1.4326927385056554e-6
2.1,0.999983692684923,1.4772380020457856e-5,1.5349350569406845e-6
2.15,0.999982605558969,1.575049394841603e-5,1.6439470830471245e-6
2.2,0.999981446453207,1.6793369747325676e-5,1.7601770462729414e-6
2.25,0.9999802106019687,1.7905295179235593e-5,1.8841028525717534e-6
2.3000000000000003,0.9999788929240858,1.9090841865683067e-5,2.0162340490644067e-6
2.35,0.9999774880020054,2.0354884076382907e-5,2.1571139187430808e-6
2.4000000000000004,0.9999759900595258,2.1702618761070372e-5,2.307321713822412e-6
2.45,0.999974392938057,2.3139586906686262e-5,2.46747503691095e-6
2.5,0.9999726900713133,2.4671696307518292e-5,2.6382323797827764e-6
2.5500000000000003,0.9999708744583288,2.630524584169381e-5,2.8202958301755254e-6
2.6,0.9999689386346894,2.8046951353581392e-5,3.014413957730213e-6
2.6500000000000004,0.9999668746418615,2.990397324822585e-5,3.2213848909228757e-6
2.7,0.9999646739944921,3.1883945910938925e-5,3.442059597621004e-6
2.75,0.9999623276455453,3.39950090726266e-5,3.677345382732508e-6
2.8000000000000003,0.999959825949134,3.62458412493804e-5,3.928209617304562e-6
2.85,0.999957158620893,3.864569539332882e-5,4.195683714378015e-6
2.9000000000000004,0.999954314695732,4.120443690076838e-5,4.480867367913886e-6
2.95,0.9999512824827953,4.3932584133207765e-5,4.784933072185719e-6
3,0.9999480495174434,4.684135161718711e-5,5.109130940178224e-6
3.0500000000000003,0.999944604231351,4.994114744419954e-5,5.454621205645178e-6
3.1,0.999940930373823,5.32465924441093e-5,5.8230337337359194e-6
3.1500000000000004,0.9999370133642553,5.677080483211681e-5,6.21583091335302e-6
3.2,0.9999328371224868,6.052825195682496e-5,6.634625557270924e-6
3.25,0.9999283844904515,6.453437093150363e-5,7.081138617936362e-6
3.3000000000000003,0.999923637179405,6.880561610948154e-5,7.557204486545315e-6
3.35,0.9999185756905099,7.335953052653397e-5,8.064778964627047e-6
3.4000000000000004,0.9999131792351189,7.821481761491413e-5,8.605947267117725e-6
3.45,0.9999074256495429,8.339141787820701e-5,9.182932579766714e-6
3.5,0.9999012913041654,8.891059065079928e-5,9.798105184867837e-6
3.5500000000000003,0.9998947510065629,9.47950012484948e-5,1.045399218970298e-5
3.6,0.9998877778982352,1.0106881386808972e-4,1.1153287897832137e-5
3.6500000000000004,0.9998803433445218,1.0775779061368844e-4,1.1898864865624389e-5
